old_path,new_path
docs/watchlist/decisions/C101_REH_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C101_REH_OP_GO_NO_GO.md
docs/watchlist/decisions/C102_REH_GO_FINAL.md,docs/watchlist/records/decisions/C102_REH_GO_FINAL.md
docs/watchlist/decisions/C111_REH_ARCH_FINAL_CLOSE.md,docs/watchlist/records/decisions/C111_REH_ARCH_FINAL_CLOSE.md
docs/watchlist/decisions/C112_PROD_APPROVAL.md,docs/watchlist/records/decisions/C112_PROD_APPROVAL.md
docs/watchlist/decisions/C115_WIRING_EXEC_APPROVAL.md,docs/watchlist/records/decisions/C115_WIRING_EXEC_APPROVAL.md
docs/watchlist/decisions/C119_WIRING_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C119_WIRING_OP_GO_NO_GO.md
docs/watchlist/decisions/C120_WIRING_GO_FINAL.md,docs/watchlist/records/decisions/C120_WIRING_GO_FINAL.md
docs/watchlist/decisions/C129_WIRING_ARCH_FINAL_CLOSE.md,docs/watchlist/records/decisions/C129_WIRING_ARCH_FINAL_CLOSE.md
docs/watchlist/decisions/C131_LIVE_ACT_APPROVAL.md,docs/watchlist/records/decisions/C131_LIVE_ACT_APPROVAL.md
docs/watchlist/decisions/C135_LIVE_ACT_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C135_LIVE_ACT_OP_GO_NO_GO.md
docs/watchlist/decisions/C136_LIVE_ACT_GO_FINAL.md,docs/watchlist/records/decisions/C136_LIVE_ACT_GO_FINAL.md
docs/watchlist/decisions/C138_LIVE_ACT_AUTH.md,docs/watchlist/records/decisions/C138_LIVE_ACT_AUTH.md
docs/watchlist/decisions/C142_LIVE_ACT_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C142_LIVE_ACT_OP_GO_NO_GO.md
docs/watchlist/decisions/C143_LIVE_ACT_GO_FINAL.md,docs/watchlist/records/decisions/C143_LIVE_ACT_GO_FINAL.md
docs/watchlist/decisions/C145_LIVE_ACT_AUTH.md,docs/watchlist/records/decisions/C145_LIVE_ACT_AUTH.md
docs/watchlist/decisions/C149_LIVE_ACT_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C149_LIVE_ACT_OP_GO_NO_GO.md
docs/watchlist/decisions/C156_LIVE_OUTPUT_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C156_LIVE_OUTPUT_OP_GO_NO_GO.md
docs/watchlist/decisions/C157_LIVE_OUTPUT_GO_FINAL.md,docs/watchlist/records/decisions/C157_LIVE_OUTPUT_GO_FINAL.md
docs/watchlist/decisions/C158_LIVE_PUB_GO_FINAL.md,docs/watchlist/records/decisions/C158_LIVE_PUB_GO_FINAL.md
docs/watchlist/decisions/C158_LIVE_PUB_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C158_LIVE_PUB_OP_GO_NO_GO.md
docs/watchlist/decisions/C159_LIVE_PUB_POSTPUB_OBS_GO_FINAL.md,docs/watchlist/records/decisions/C159_LIVE_PUB_POSTPUB_OBS_GO_FINAL.md
docs/watchlist/decisions/C159_LIVE_PUB_POSTPUB_OBS_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C159_LIVE_PUB_POSTPUB_OBS_OP_GO_NO_GO.md
docs/watchlist/decisions/C160_LIVE_PC_GO_FINAL.md,docs/watchlist/records/decisions/C160_LIVE_PC_GO_FINAL.md
docs/watchlist/decisions/C160_LIVE_PC_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C160_LIVE_PC_OP_GO_NO_GO.md
docs/watchlist/decisions/C161_LIVE_PC_DONE_GO_FINAL.md,docs/watchlist/records/decisions/C161_LIVE_PC_DONE_GO_FINAL.md
docs/watchlist/decisions/C161_LIVE_PC_DONE_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C161_LIVE_PC_DONE_OP_GO_NO_GO.md
docs/watchlist/decisions/C162_LIVE_PC_HANDOFF_ARCH_FINAL_CLOSE.md,docs/watchlist/records/decisions/C162_LIVE_PC_HANDOFF_ARCH_FINAL_CLOSE.md
docs/watchlist/decisions/C163_LIVE_PC_POST_HANDOFF_APPROVAL.md,docs/watchlist/records/decisions/C163_LIVE_PC_POST_HANDOFF_APPROVAL.md
docs/watchlist/decisions/C163_LIVE_PC_POST_HANDOFF_GO_FINAL.md,docs/watchlist/records/decisions/C163_LIVE_PC_POST_HANDOFF_GO_FINAL.md
docs/watchlist/decisions/C163_LIVE_PC_POST_HANDOFF_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C163_LIVE_PC_POST_HANDOFF_OP_GO_NO_GO.md
docs/watchlist/decisions/C164_LIVE_PC_POST_HANDOFF_DONE_GO_FINAL.md,docs/watchlist/records/decisions/C164_LIVE_PC_POST_HANDOFF_DONE_GO_FINAL.md
docs/watchlist/decisions/C164_LIVE_PC_POST_HANDOFF_DONE_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C164_LIVE_PC_POST_HANDOFF_DONE_OP_GO_NO_GO.md
docs/watchlist/decisions/C165_LIVE_PC_CTRL_ROLLOUT_GO_FINAL.md,docs/watchlist/records/decisions/C165_LIVE_PC_CTRL_ROLLOUT_GO_FINAL.md
docs/watchlist/decisions/C165_LIVE_PC_CTRL_ROLLOUT_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C165_LIVE_PC_CTRL_ROLLOUT_OP_GO_NO_GO.md
docs/watchlist/decisions/C166_LIVE_PC_ROLLOUT_OBS_GO_FINAL.md,docs/watchlist/records/decisions/C166_LIVE_PC_ROLLOUT_OBS_GO_FINAL.md
docs/watchlist/decisions/C166_LIVE_PC_ROLLOUT_OBS_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C166_LIVE_PC_ROLLOUT_OBS_OP_GO_NO_GO.md
docs/watchlist/decisions/C31_CTRL_GATE_RECLASSIFICATION.md,docs/watchlist/records/decisions/C31_CTRL_GATE_RECLASSIFICATION.md
docs/watchlist/decisions/C80_PILOT_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C80_PILOT_OP_GO_NO_GO.md
docs/watchlist/decisions/C81_PILOT_GO_FINAL.md,docs/watchlist/records/decisions/C81_PILOT_GO_FINAL.md
docs/watchlist/decisions/C83_PILOT_ACT_AUTH.md,docs/watchlist/records/decisions/C83_PILOT_ACT_AUTH.md
docs/watchlist/decisions/C87_PILOT_POST_ACT_OP_GO_NO_GO.md,docs/watchlist/records/decisions/C87_PILOT_POST_ACT_OP_GO_NO_GO.md
docs/watchlist/decisions/C88_PILOT_POST_ACT_GO_FINAL.md,docs/watchlist/records/decisions/C88_PILOT_POST_ACT_GO_FINAL.md
docs/watchlist/decisions/README.md,docs/watchlist/records/decisions/README.md
docs/watchlist/decisions/WS_BREAKOUT_INTEGRITY_B01_PROMOTION_READINESS_LOCK.md,docs/watchlist/records/decisions/WS_BREAKOUT_INTEGRITY_B01_PROMOTION_READINESS_LOCK.md
docs/watchlist/decisions/WS_DOCUMENTATION_ROLE_SEPARATION_CLEANUP_2026-08-16.md,docs/watchlist/records/decisions/WS_DOCUMENTATION_ROLE_SEPARATION_CLEANUP_2026-08-16.md
docs/watchlist/decisions/WS_DOCUMENT_NAMING_DECISION_SEMANTIC_FILENAMES.md,docs/watchlist/records/decisions/WS_DOCUMENT_NAMING_DECISION_SEMANTIC_FILENAMES.md
docs/watchlist/decisions/WS_DOCUMENT_RECORDING_STANDARD_ADOPTION_2026-08-18.md,docs/watchlist/records/decisions/WS_DOCUMENT_RECORDING_STANDARD_ADOPTION_2026-08-18.md
docs/watchlist/decisions/WS_IMPLEMENTATION_RESIDUE_STANDARD_ADOPTION_2026-08-18.md,docs/watchlist/records/decisions/WS_IMPLEMENTATION_RESIDUE_STANDARD_ADOPTION_2026-08-18.md
docs/watchlist/decisions/WS_MARKET_DATA_CROSS_DOMAIN_BINDING_ALIGNMENT_2026-08-17.md,docs/watchlist/records/decisions/WS_MARKET_DATA_CROSS_DOMAIN_BINDING_ALIGNMENT_2026-08-17.md
docs/watchlist/decisions/WS_ROOT_DOCUMENT_ARCHITECTURE_GROUPING_2026-08-18.md,docs/watchlist/records/decisions/WS_ROOT_DOCUMENT_ARCHITECTURE_GROUPING_2026-08-18.md
docs/watchlist/decisions/WS_STAGE_EXECUTION_AND_CLOSURE_STANDARD_ADOPTION_2026-08-18.md,docs/watchlist/records/decisions/WS_STAGE_EXECUTION_AND_CLOSURE_STANDARD_ADOPTION_2026-08-18.md
docs/watchlist/decisions/WS_STRATEGY_DECISION_END_TO_END_LIFECYCLE.md,docs/watchlist/records/decisions/WS_STRATEGY_DECISION_END_TO_END_LIFECYCLE.md
docs/watchlist/decisions/WS_STRATEGY_DECISION_OPTIONAL_CONFIRM_NON_BLOCKING.md,docs/watchlist/records/decisions/WS_STRATEGY_DECISION_OPTIONAL_CONFIRM_NON_BLOCKING.md
docs/watchlist/decisions/WS_STRATEGY_DECISION_QUALIFIED_TOP_PICKS.md,docs/watchlist/records/decisions/WS_STRATEGY_DECISION_QUALIFIED_TOP_PICKS.md
docs/watchlist/decisions/WS_STRATEGY_TRACEABILITY_MATRIX_ADOPTION_2026-08-18.md,docs/watchlist/records/decisions/WS_STRATEGY_TRACEABILITY_MATRIX_ADOPTION_2026-08-18.md
docs/watchlist/evidence/E-WS-20260818-01_STAGE_GOVERNANCE_VALIDATION.json,docs/watchlist/records/evidence/E-WS-20260818-01_STAGE_GOVERNANCE_VALIDATION.json
docs/watchlist/evidence/E-WS-20260818-02_RESIDUE_STANDARD_VALIDATION.json,docs/watchlist/records/evidence/E-WS-20260818-02_RESIDUE_STANDARD_VALIDATION.json
docs/watchlist/evidence/E-WS-20260818-03_TRACEABILITY_MATRIX_VALIDATION.json,docs/watchlist/records/evidence/E-WS-20260818-03_TRACEABILITY_MATRIX_VALIDATION.json
docs/watchlist/evidence/LUMEN_IMPLEMENTATION_STATUS.md,docs/watchlist/records/evidence/LUMEN_IMPLEMENTATION_STATUS.md
docs/watchlist/evidence/README.md,docs/watchlist/records/evidence/README.md
docs/watchlist/evidence/WS_BREAKOUT_INTEGRITY_B01_ACTIVE_SHADOW_LOCK.md,docs/watchlist/records/evidence/WS_BREAKOUT_INTEGRITY_B01_ACTIVE_SHADOW_LOCK.md
docs/watchlist/evidence/WS_BREAKOUT_INTEGRITY_B01_IS_IDENTITY_REVIEW_LOCK.md,docs/watchlist/records/evidence/WS_BREAKOUT_INTEGRITY_B01_IS_IDENTITY_REVIEW_LOCK.md
