scope,row_code,status,valid,reason_code,reason_codes,catalog_code,catalog_version,catalog_count,catalog_hash,is_from,is_to,is_trading_date_count,is_trading_date_hash,is_valid_param_count,is_failed_param_count,artifact_hash_run_1,artifact_hash_run_2,param_id_best_is,best_is_binding_hash,oos_executed,production_ready,per_param_metrics_available,forensic_note
AGGREGATE,ALL_C03_ROWS,C03_GRID_FAILED_IS_QUALITY,False,WS_BT_C03_NO_VALID_IS_CANDIDATE,"WS_BT_EVAL_DOWNSIDE_FAIL,WS_BT_EVAL_ROBUST_RETURN_FAIL,WS_BT_EVAL_STABILITY_FAIL",WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,C03,10,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,2023-01-02,2025-05-21,562,581dd450ebcbd56cb3a1c066c9fc80bbccb3a753,0,10,649e8fead0c57262307f749a4776f053f5ccd0f8,649e8fead0c57262307f749a4776f053f5ccd0f8,,,0,0,False,Aggregate command-output evidence only. Operator JSON artifacts were not included in repository ZIP.
PER_ROW_PLACEHOLDER,00_C02_BEST_AVG_REFERENCE,OPERATOR_ARTIFACT_REQUIRED,UNKNOWN_FROM_COMMAND_SUMMARY,OPERATOR_ARTIFACT_REQUIRED,OPERATOR_ARTIFACT_REQUIRED,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,C03,10,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,2023-01-02,2025-05-21,562,581dd450ebcbd56cb3a1c066c9fc80bbccb3a753,,,649e8fead0c57262307f749a4776f053f5ccd0f8,649e8fead0c57262307f749a4776f053f5ccd0f8,,,0,0,False,"Row exists in C03 catalog, but per-row metrics require c03-is-run-1.json or c03-is-run-2.json content."
PER_ROW_PLACEHOLDER,01_HIGH_SCORE_LOW_ATR_MID_ROC,OPERATOR_ARTIFACT_REQUIRED,UNKNOWN_FROM_COMMAND_SUMMARY,OPERATOR_ARTIFACT_REQUIRED,OPERATOR_ARTIFACT_REQUIRED,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,C03,10,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,2023-01-02,2025-05-21,562,581dd450ebcbd56cb3a1c066c9fc80bbccb3a753,,,649e8fead0c57262307f749a4776f053f5ccd0f8,649e8fead0c57262307f749a4776f053f5ccd0f8,,,0,0,False,"Row exists in C03 catalog, but per-row metrics require c03-is-run-1.json or c03-is-run-2.json content."
PER_ROW_PLACEHOLDER,02_STABILITY_PROXY_TIGHTENED,OPERATOR_ARTIFACT_REQUIRED,UNKNOWN_FROM_COMMAND_SUMMARY,OPERATOR_ARTIFACT_REQUIRED,OPERATOR_ARTIFACT_REQUIRED,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,C03,10,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,2023-01-02,2025-05-21,562,581dd450ebcbd56cb3a1c066c9fc80bbccb3a753,,,649e8fead0c57262307f749a4776f053f5ccd0f8,649e8fead0c57262307f749a4776f053f5ccd0f8,,,0,0,False,"Row exists in C03 catalog, but per-row metrics require c03-is-run-1.json or c03-is-run-2.json content."
PER_ROW_PLACEHOLDER,03_DOWNSIDE_P25_LOW_ATR_STRICT_Q,OPERATOR_ARTIFACT_REQUIRED,UNKNOWN_FROM_COMMAND_SUMMARY,OPERATOR_ARTIFACT_REQUIRED,OPERATOR_ARTIFACT_REQUIRED,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,C03,10,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,2023-01-02,2025-05-21,562,581dd450ebcbd56cb3a1c066c9fc80bbccb3a753,,,649e8fead0c57262307f749a4776f053f5ccd0f8,649e8fead0c57262307f749a4776f053f5ccd0f8,,,0,0,False,"Row exists in C03 catalog, but per-row metrics require c03-is-run-1.json or c03-is-run-2.json content."
PER_ROW_PLACEHOLDER,04_ANTI_CHASE_CLOSE_BREAKOUT,OPERATOR_ARTIFACT_REQUIRED,UNKNOWN_FROM_COMMAND_SUMMARY,OPERATOR_ARTIFACT_REQUIRED,OPERATOR_ARTIFACT_REQUIRED,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,C03,10,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,2023-01-02,2025-05-21,562,581dd450ebcbd56cb3a1c066c9fc80bbccb3a753,,,649e8fead0c57262307f749a4776f053f5ccd0f8,649e8fead0c57262307f749a4776f053f5ccd0f8,,,0,0,False,"Row exists in C03 catalog, but per-row metrics require c03-is-run-1.json or c03-is-run-2.json content."
PER_ROW_PLACEHOLDER,05_MODERATE_VOLUME_NO_SPIKE,OPERATOR_ARTIFACT_REQUIRED,UNKNOWN_FROM_COMMAND_SUMMARY,OPERATOR_ARTIFACT_REQUIRED,OPERATOR_ARTIFACT_REQUIRED,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,C03,10,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,2023-01-02,2025-05-21,562,581dd450ebcbd56cb3a1c066c9fc80bbccb3a753,,,649e8fead0c57262307f749a4776f053f5ccd0f8,649e8fead0c57262307f749a4776f053f5ccd0f8,,,0,0,False,"Row exists in C03 catalog, but per-row metrics require c03-is-run-1.json or c03-is-run-2.json content."
PER_ROW_PLACEHOLDER,06_LIQUIDITY_QUALITY_CORE,OPERATOR_ARTIFACT_REQUIRED,UNKNOWN_FROM_COMMAND_SUMMARY,OPERATOR_ARTIFACT_REQUIRED,OPERATOR_ARTIFACT_REQUIRED,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,C03,10,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,2023-01-02,2025-05-21,562,581dd450ebcbd56cb3a1c066c9fc80bbccb3a753,,,649e8fead0c57262307f749a4776f053f5ccd0f8,649e8fead0c57262307f749a4776f053f5ccd0f8,,,0,0,False,"Row exists in C03 catalog, but per-row metrics require c03-is-run-1.json or c03-is-run-2.json content."
PER_ROW_PLACEHOLDER,07_LOW_ATR_STABILITY_CORE,OPERATOR_ARTIFACT_REQUIRED,UNKNOWN_FROM_COMMAND_SUMMARY,OPERATOR_ARTIFACT_REQUIRED,OPERATOR_ARTIFACT_REQUIRED,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,C03,10,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,2023-01-02,2025-05-21,562,581dd450ebcbd56cb3a1c066c9fc80bbccb3a753,,,649e8fead0c57262307f749a4776f053f5ccd0f8,649e8fead0c57262307f749a4776f053f5ccd0f8,,,0,0,False,"Row exists in C03 catalog, but per-row metrics require c03-is-run-1.json or c03-is-run-2.json content."
PER_ROW_PLACEHOLDER,08_RISK_BREAKOUT_BALANCED_HIGH_Q,OPERATOR_ARTIFACT_REQUIRED,UNKNOWN_FROM_COMMAND_SUMMARY,OPERATOR_ARTIFACT_REQUIRED,OPERATOR_ARTIFACT_REQUIRED,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,C03,10,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,2023-01-02,2025-05-21,562,581dd450ebcbd56cb3a1c066c9fc80bbccb3a753,,,649e8fead0c57262307f749a4776f053f5ccd0f8,649e8fead0c57262307f749a4776f053f5ccd0f8,,,0,0,False,"Row exists in C03 catalog, but per-row metrics require c03-is-run-1.json or c03-is-run-2.json content."
