"scope","param_id","catalog_code","catalog_version","row_code","status","calibration_valid","reason_codes","picks_count","days_covered","avg_ret_net_top","median_ret_net_top","p25_ret_net_top","month_win_rate_min","month_avg_ret_net_min","win_rate_top","requested_ticker_date_pair_count","strict_is_boundary","max_requested_market_data_date","artifact_hash_run_1","artifact_hash_run_2","is_valid_param_count","is_failed_param_count","oos_executed","production_ready","forensic_note"
"AGGREGATE","","WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06","C06","ALL_ROWS","C06_GRID_FAILED_IS_QUALITY","False","WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_STABILITY_FAIL","","","","","","","","","","True","2025-05-16","ede8ca6f53ea49141a5e047e6094b7a282cdb232","ede8ca6f53ea49141a5e047e6094b7a282cdb232","0","12","0","0","C06 run 1 and run 2 deterministic quality failure; no valid IS binding; no OOS run."
"PER_ROW","85","WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06","C06","00_C04_BREAKOUT_VOLUME_RISK_REFERENCE","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_STABILITY_FAIL","9","507","0.014132942016467816","0.016637434227010774","-0.006100915137270591","0","-0.034389973092196734","0.6666666666666666","50","True","2025-05-15","ede8ca6f53ea49141a5e047e6094b7a282cdb232","ede8ca6f53ea49141a5e047e6094b7a282cdb232","","","0","0","Strict C06 cap improved median/p25 but failed minimum trade count and monthly stability."
"PER_ROW","86","WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06","C06","01_MODERATE_DV20_VOLUME_CORE","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_STABILITY_FAIL","24","508","0.0030409820730720994","0.004678648282005138","-0.02717910871808043","0","-0.048360503878611884","0.5","120","True","2025-05-15","ede8ca6f53ea49141a5e047e6094b7a282cdb232","ede8ca6f53ea49141a5e047e6094b7a282cdb232","","","0","0","Moderate liquidity/volume/ROC core passed median and p25 directionally but sample and monthly stability failed."
"PER_ROW","87","WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06","C06","02_MODERATE_DV20_ROC_STRICT","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_STABILITY_FAIL","24","508","-0.004957184140729794","-0.016500406260621204","-0.028383434842003286","0","-0.06377551020408163","0.4166666666666667","116","True","2025-05-15","ede8ca6f53ea49141a5e047e6094b7a282cdb232","ede8ca6f53ea49141a5e047e6094b7a282cdb232","","","0","0","Strict ROC row remained too sparse and return robustness failed."
"PER_ROW","88","WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06","C06","03_VOLUME_1_2_TO_1_5_NEAR_BELOW","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_STABILITY_FAIL","52","504","0.0013133660572406717","-0.0033047681326961267","-0.028383434842003286","0","-0.0547926916649493","0.38461538461538464","274","True","2025-05-15","ede8ca6f53ea49141a5e047e6094b7a282cdb232","ede8ca6f53ea49141a5e047e6094b7a282cdb232","","","0","0","Volume 1.2..1.5 bucket improved downside near threshold but still failed sample, median, and stability."
"PER_ROW","89","WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06","C06","04_DV20_5B_7B_EXTENSION_CONTROL","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","37","505","-0.007015721737732587","-0.0167565890231329","-0.034389973092196734","0","-0.06377551020408163","0.32432432432432434","196","True","2025-02-11","ede8ca6f53ea49141a5e047e6094b7a282cdb232","ede8ca6f53ea49141a5e047e6094b7a282cdb232","","","0","0","Extending moderate liquidity toward 7.5B degraded downside and robustness."
"PER_ROW","90","WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06","C06","05_ROC_2_TO_5_LOW_ATR","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_STABILITY_FAIL","37","507","-0.002690277905579104","-0.016244223498109507","-0.024884635789431536","0","-0.06377551020408163","0.3783783783783784","183","True","2025-05-15","ede8ca6f53ea49141a5e047e6094b7a282cdb232","ede8ca6f53ea49141a5e047e6094b7a282cdb232","","","0","0","Low ATR and moderate ROC improved p25 but did not fix median or monthly stability."
"PER_ROW","91","WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06","C06","06_RS_TREND_MODERATE_LIQUIDITY","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","56","507","-0.0029971973991405366","-0.011428690028240797","-0.033760237389223444","0","-0.06377551020408163","0.30357142857142855","274","True","2025-05-15","ede8ca6f53ea49141a5e047e6094b7a282cdb232","ede8ca6f53ea49141a5e047e6094b7a282cdb232","","","0","0","Trend confirmation did not overcome weak return distribution."
"PER_ROW","92","WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06","C06","07_LOW_EXTENSION_NO_BREAKOUT_CHASE","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_STABILITY_FAIL","57","505","-0.00025362308480219946","-0.0005086211281216622","-0.02681507715658993","0","-0.06377551020408163","0.38596491228070173","290","True","2025-05-15","ede8ca6f53ea49141a5e047e6094b7a282cdb232","ede8ca6f53ea49141a5e047e6094b7a282cdb232","","","0","0","Anti-chase row nearly reached median/p25 but remained sparse and monthly unstable."
"PER_ROW","93","WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06","C06","08_VOLUME_BROAD_DV20_CAPPED","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","145","498","-0.0018260823105997004","-0.011487455017491805","-0.03355032548823235","0","-0.045476821229466106","0.31724137931034485","680","True","2025-05-16","ede8ca6f53ea49141a5e047e6094b7a282cdb232","ede8ca6f53ea49141a5e047e6094b7a282cdb232","","","0","0","Sample recovered above minimum but median/downside/stability failed."
