"scope","param_id","catalog_code","catalog_version","row_code","status","calibration_valid","reason_codes","picks_count","days_covered","avg_ret_net_top","median_ret_net_top","p25_ret_net_top","month_win_rate_min","month_avg_ret_net_min","win_rate_top","requested_ticker_date_pair_count","strict_is_boundary","max_requested_market_data_date","artifact_hash_run_1","artifact_hash_run_2","is_valid_param_count","is_failed_param_count","oos_executed","production_ready","forensic_note"
"AGGREGATE","","WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06","C07","ALL_ROWS","C07_GRID_FAILED_IS_QUALITY","False","WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_STABILITY_FAIL","","","","","","","","","","True","2025-05-21","c562d0a37ec7911c17c50072413fbbae25bb6114","c562d0a37ec7911c17c50072413fbbae25bb6114","0","12","0","0","C07 run 1 and run 2 deterministic quality failure; sample recovered but median/downside/stability failed; no OOS run."
"PER_ROW","97","WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06","C07","00_C05_BROAD_SAMPLE_REFERENCE_WITH_C07_OVERLAY","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","765","500","-0.0034855559152310277","-0.009317621266100301","-0.035892022319408835","0.2222222222222222","-0.01999833840932215","0.36993464052287583","4316","True","2025-05-21","c562d0a37ec7911c17c50072413fbbae25bb6114","c562d0a37ec7911c17c50072413fbbae25bb6114","","","0","0","C07 overlay restored sample but did not fix median, downside, or stability."
"PER_ROW","98","WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06","C07","01_SHORT_TERM_RANGE_SECTOR_CORE","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","968","506","-0.002933748974102712","-0.008046408716475328","-0.03672586406399356","0.20689655172413793","-0.01973346365800741","0.390495867768595","5415","True","2025-05-21","c562d0a37ec7911c17c50072413fbbae25bb6114","c562d0a37ec7911c17c50072413fbbae25bb6114","","","0","0","Core short-term/range/sector confirmation remained too weak for canonical return gates."
"PER_ROW","99","WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06","C07","02_RANGE_POSITION_BALANCED","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","988","507","-0.002861697580388746","-0.00782540436051395","-0.0348308934881373","0.2222222222222222","-0.01773730373453069","0.38461538461538464","5556","True","2025-05-21","c562d0a37ec7911c17c50072413fbbae25bb6114","c562d0a37ec7911c17c50072413fbbae25bb6114","","","0","0","Range-position filter improved sample consistency but did not cross median or p25 gates."
"PER_ROW","100","WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06","C07","03_SECTOR_RS_SAMPLE_RECOVERY","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","1155","508","-0.0033345742486039424","-0.008436699643449003","-0.03715196015814321","0.20588235294117646","-0.022807691531834727","0.3887445887445887","5791","True","2025-05-21","c562d0a37ec7911c17c50072413fbbae25bb6114","c562d0a37ec7911c17c50072413fbbae25bb6114","","","0","0","Sector-relative confirmation alone did not remove weak return distribution."
"PER_ROW","101","WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06","C07","04_SHORT_TERM_ACCELERATION_LOW_ATR","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","862","507","-0.003745867297416853","-0.008008397016176335","-0.034613263356176406","0.23333333333333334","-0.014688469590297817","0.3851508120649652","5031","True","2025-05-21","c562d0a37ec7911c17c50072413fbbae25bb6114","c562d0a37ec7911c17c50072413fbbae25bb6114","","","0","0","Low ATR plus short-term acceleration did not fix robust return or downside."
"PER_ROW","102","WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06","C07","05_ANTI_REVERSAL_NOT_OVEREXTENDED","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","1017","507","-0.002499280446411909","-0.0069927968181772646","-0.0348308934881373","0.25","-0.015819110680879975","0.39036381514257623","5612","True","2025-05-21","c562d0a37ec7911c17c50072413fbbae25bb6114","c562d0a37ec7911c17c50072413fbbae25bb6114","","","0","0","Best C07 monthly-win minimum was still only 25%, far below the 45% gate."
"PER_ROW","103","WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06","C07","06_BROAD_MONTHLY_STABILITY_WITH_FEATURES","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","1286","508","-0.004105880312308876","-0.010278977744097511","-0.038955480086408895","0.208955223880597","-0.02033241080494664","0.37558320373250387","6253","True","2025-05-21","c562d0a37ec7911c17c50072413fbbae25bb6114","c562d0a37ec7911c17c50072413fbbae25bb6114","","","0","0","Broad monthly row recovered sample but degraded return distribution."
"PER_ROW","104","WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06","C07","07_MODERATE_DV20_FEATURE_OVERLAY","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","992","507","-0.003298514015408707","-0.007960875696326596","-0.03551321872301999","0.17857142857142858","-0.02260304270344158","0.3840725806451613","5569","True","2025-05-21","c562d0a37ec7911c17c50072413fbbae25bb6114","c562d0a37ec7911c17c50072413fbbae25bb6114","","","0","0","Moderate DV20 feature overlay failed all quality families."
"PER_ROW","105","WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06","C07","08_VOLUME_CONTROL_FEATURE_OVERLAY","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","983","507","-0.0033070211600989587","-0.007998753441022178","-0.03620584413287889","0.2","-0.02064805246215479","0.38657171922685657","5494","True","2025-05-21","c562d0a37ec7911c17c50072413fbbae25bb6114","c562d0a37ec7911c17c50072413fbbae25bb6114","","","0","0","Volume control plus features did not improve p25 enough."
"PER_ROW","106","WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06","C07","09_LOW_ATR_RANGE_SECTOR","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","986","507","-0.0034168341345592996","-0.007568693900748286","-0.03427570678008506","0.20588235294117646","-0.018239651634348188","0.3803245436105477","5489","True","2025-05-21","c562d0a37ec7911c17c50072413fbbae25bb6114","c562d0a37ec7911c17c50072413fbbae25bb6114","","","0","0","Low ATR/range/sector retained sample but failed all canonical quality gates."
