legacy_work_key,legacy_source_id,original_path,current_primary_path,current_effect
W00,LS-MD-0214,README.md,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,HISTORICAL_REFERENCE_ONLY
W01,LS-MD-0214,README.md,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,HISTORICAL_REFERENCE_ONLY
W22,LS-MD-0214,README.md,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,HISTORICAL_REFERENCE_ONLY
W22,LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,records/history/archive/audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,HISTORICAL_REFERENCE_ONLY
W22,LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,records/history/archive/audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,HISTORICAL_REFERENCE_ONLY
W22,LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,records/history/archive/audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,HISTORICAL_REFERENCE_ONLY
W22,LS-MD-0027,audit/FULL_MARKET_DATA_PRODUCTION_READY_INVENTORY.md,records/history/archive/audit/FULL_MARKET_DATA_PRODUCTION_READY_INVENTORY.md,HISTORICAL_REFERENCE_ONLY
W22,LS-MD-0030,audit/LUMEN_CONTRACT_TRACKER.md,records/history/archive/audit/LUMEN_CONTRACT_TRACKER.md,HISTORICAL_REFERENCE_ONLY
W22,LS-MD-0031,audit/LUMEN_IMPLEMENTATION_STATUS.md,records/history/archive/audit/LUMEN_IMPLEMENTATION_STATUS.md,HISTORICAL_REFERENCE_ONLY
W22,LS-MD-0032,audit/MARKET_BENCHMARK_INDICATOR_EXTENSION_INVENTORY.md,records/history/archive/audit/MARKET_BENCHMARK_INDICATOR_EXTENSION_INVENTORY.md,HISTORICAL_REFERENCE_ONLY
W22,LS-MD-0033,audit/MARKET_DATA_CONSUMER_READ_MODEL_INVENTORY.md,records/history/archive/audit/MARKET_DATA_CONSUMER_READ_MODEL_INVENTORY.md,HISTORICAL_REFERENCE_ONLY
W00,LS-MD-0034,audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,records/history/archive/audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,HISTORICAL_REFERENCE_ONLY
W01,LS-MD-0034,audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,records/history/archive/audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,HISTORICAL_REFERENCE_ONLY
W02,LS-MD-0034,audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,records/history/archive/audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,HISTORICAL_REFERENCE_ONLY
W03,LS-MD-0034,audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,records/history/archive/audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,HISTORICAL_REFERENCE_ONLY
W04,LS-MD-0034,audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,records/history/archive/audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,HISTORICAL_REFERENCE_ONLY
